danceability,energy,loudness,speechiness,acousticness,valence,tempo,liveness,instrumentalness,cluster
0.656693783034964,-0.6728493891979797,0.3570703798150716,0.4628286310597489,-0.8750054851066417,0.9557356215431384,-1.1430609110864935,0.6974157560280463,-0.557109294460637,6
-0.783568049215813,-1.813434273446751,-1.7749147173856252,-0.1092084910296171,1.748254506099027,-0.7452193171611894,-1.49093671754013,-0.5987929959798397,-0.5570955727137151,1
-0.6822996391356801,-1.0672211118873856,-0.2502679241639236,-0.2858796261876524,-0.3520007458866732,-1.3033451564235472,-1.5295339852872398,-0.518095174843162,-0.5571123403868767,1
-1.6499755576791706,-2.2248181096639352,-2.035086413869265,-0.4522592389092971,1.6923653607380635,-1.21601934483828,1.986853913318911,-0.4424409675275266,-0.5568991255500909,1
0.3303844616656471,-0.7424443990843455,-0.2394951898563977,-0.3124660591483276,0.4098565514022573,-1.1248967588362626,-0.0744803748069682,-0.6900824061407065,-0.5571123403868767,1
0.7242060564217185,-0.5955216004353512,-0.0618467033511631,0.136930420574053,-0.1196195625437175,0.7696936751223529,-0.8061271131212338,-0.1549549797281122,-0.5571123403868767,6
-0.8567063453847978,-1.886895672771248,-0.0648955904193305,-0.4591202538668908,1.55117173035247,-1.468504843552204,0.6372505736671722,-0.6477160500439505,-0.5571036248157549,1
0.8085963981551626,-0.738578009646214,-0.1683544915991527,-0.4059473879455403,0.674594608375245,0.9443452982928864,0.960039824074287,-0.6174543671176965,-0.5571123403868767,6
0.3697666211412543,-0.8545696927901569,-0.0400979755982336,-0.4471134776911019,-0.1049118927118849,0.7810839983726051,0.2637544546553851,-0.3466123049277219,-0.5571123403868767,6
-0.6597955480067618,-0.0116967952775054,0.3521921605060036,-0.5105778660488428,0.2833705908484967,-1.0147903007504917,-1.4438994249529007,-0.7374923760585047,-0.544476270144548,1
0.3810186667057135,-1.0517555541348598,0.0763695104057702,-0.5140083735276395,-0.1490349022073827,-0.6161289869916646,-0.7431438447491137,-0.6401506293123871,-0.5571123403868767,1
-0.4291286139353484,-1.2837389204227454,-0.3161238848363448,-0.39565586550915,1.071701693834726,-1.231206442505283,0.3744422112542699,-0.5281824024852467,-0.5571123403868767,1
-0.3953724772419708,-1.2412086366032995,-0.1508742057416582,-0.4797032987396716,1.2334860619848849,0.5456839845340594,0.0684662909634414,-0.5382696301273314,-0.5571123403868767,1
0.7410841247684073,-1.550519791653814,0.419064416867814,-0.5191541347458347,1.3158490130431475,-0.965432233332732,-1.170215773615575,-0.502964333380035,-0.5571123403868767,1
1.1011495828311018,0.560528841565946,0.491627929090204,-0.4831338062184683,-0.6049726669941945,-0.2896063871511015,-0.0726455867982463,-0.4979207195589926,-0.5570269941367914,6
-0.3953724772419708,-0.2862104453848367,0.1158017831540719,-0.528588030312526,-0.3814160855503384,-0.8553257752469607,-1.2918455387028362,-0.2053911179385358,-0.5569748213408027,1
0.8254744665018514,-2.022219303105848,-1.950327353374204,-0.4282456865577195,1.462925711361474,-0.1870934778988319,-0.4012394392693169,-0.4777462642748231,-0.5571001868396032,1
1.326190494120286,-2.130091568429715,-1.9487012802711807,-0.3682118056787755,1.212895324220319,0.5532775333675609,-1.0134247983248104,-0.6779777329702047,-0.557077055894792,1
0.887360717106377,-1.218010299974511,0.0223025797302639,-0.5208693884852331,1.4717503132605734,-0.5363967242398991,-0.4748978378739994,-0.5685313130535856,-0.5571123403868767,1
0.6679458285994232,-1.098152227392437,-0.030748055255853,-0.5354490452701196,1.227602994052152,0.4014065566975315,-1.0725049722056497,0.6822849145649192,-0.5571123403868767,1
0.0715874136830854,-0.6999141152648997,-0.362466968272493,-0.5423100602277131,0.4333888231331895,0.1963807381929922,0.6004880939287842,-0.6169500057355922,-0.5570710243576834,1
1.3318165169025156,0.1236268350570946,0.7463116288511413,-0.4273880596880204,0.151001562362003,1.1038098237964171,-0.8070945467985596,0.0064406625452432,-0.5571123403868767,6
1.1011495828311018,-0.6999141152648997,-0.2248605319291932,-0.4616931344759883,1.2570183337158172,-0.5060225289058933,-0.0707774390075479,0.0820948698608785,-0.5571123403868767,1
0.3416365072301063,-1.260540583793957,-0.1435568767780559,-0.3390524921090028,1.3482058866731796,0.7621001262888514,0.7733251243503699,-0.3718303740329337,-0.5571123403868767,1
0.4147748033990911,-0.7965738512181855,0.3493465325757137,-0.4368219552547115,-0.83911877071697,0.2153646102767459,0.7209502666468595,-0.4424409675275266,-0.5571123403868767,6
0.189733892109907,-0.6960477258267682,0.0631576664437105,-0.4308185671668171,0.106878552866505,0.3824226846137778,2.6633569320255943,-0.6472116886618463,-0.5571123403868767,0
-1.481194874212283,-1.658778695921494,-0.6699980438816697,-0.4102355222940363,1.3305566828749804,-0.992009654249987,1.4417550758186783,-0.6245154264671557,-0.5564337924621694,1
-0.8454542998203386,-1.86369733614246,-0.4547466168690339,-0.5011439704821515,1.7923775155945247,-1.0755386914185032,-1.231631132234787,-0.5634876992325433,-0.5570351367118879,1
-0.3278602038552156,-2.0871746456664564,-0.9000873879593881,-0.3004592829725388,1.8629743307873212,-0.5591773707404035,0.5282308061671257,-0.6467073272797422,-0.5570646912437195,1
0.2628721882788918,-1.1948119633457226,-0.3106358881136432,-0.511435492918542,1.5041071868906055,-0.1870934778988319,-1.0193294797346963,-0.40713567078023,-0.5571123403868767,1
-0.4797628189754148,-0.4485988017863568,0.6528124254273335,-0.5465981945762091,-0.1431518342746496,-0.5212096265728963,0.98912955395802,-0.5685313130535856,-0.5571123403868767,0
0.049083322554167,-1.2914716992990083,-0.3374660943135184,-0.4436829702123052,1.371738158404112,-1.219816119255031,-1.139324615505097,-0.5130515610221197,-0.5571021772468489,1
0.049083322554167,0.1970882343815918,0.3796321441195124,-0.4805609256093707,-0.5284927838686648,0.993703365710646,1.66443162051354,-0.6638556142712863,-0.5571068818457936,0
-0.4685107734109556,0.1197604456189632,1.029451607914977,-0.3810762087242635,-0.0460812133845543,0.1318355731082297,0.8664656356294794,0.6167179348913687,-0.5571123403868767,0
0.2066119604565958,-1.6819770325502823,-0.3905167292996353,-0.5020015973518508,1.7070730305698958,-0.5895515660744095,-0.4766659063187675,-0.6623425301249735,-0.5565604547414481,1
-1.047991119980604,1.0786250262755577,0.8776170319202282,-0.2790186112300588,-0.7461662973797878,0.3672355869467753,1.5354960631733696,2.26597965437222,-0.5571123403868767,2
-0.3672423633308228,0.0656309934851231,0.5365481985612072,-0.494282955524558,-0.7479312177596078,-0.6275193102419168,0.4949377437543211,-0.4777462642748231,-0.5493919728879837,0
